;city
0;Лермонтов
1;Ставрополь
2;Пятигорск
3;Ессентуки
4;Минераловодский г.о.
5;Георгиевский г.о.
6;Туркменский муниципальный округ
7;Красногвардейский муниципальный округ
8;Ипатовский г.о.
9;Невинномысск
10;Кочубеевский муниципальный округ
11;Нефтекумский г.о.
12;Кировский г.о.
13;Надтеречный р-н
14;улица Некрасова
15;Александровский муниципальный округ
16;Будённовский муниципальный округ
17;Благодарненский г.о.
18;Новоселицкий муниципальный округ
19;Кировский муниципальный округ
20;Кисловодск
21;Предгорный муниципальный округ
22;Шпаковский муниципальный округ
23;г.о. Пятигорск
24;Пятигорский
25;Новоалександровский г.о.
26;Апанасенковский муниципальный округ
27;Арзгирский муниципальный округ
28;Курский муниципальный округ
29;Черкесск
30;Карачаевск
31;Абазинский р-н
32;Усть-Джегутинский р-н
33;Прикубанский район
34;Прикубанский р-н
35;Зеленчукский р-н
36;Ногайский р-н
37;Карачаевский р-н
38;Армавир
39;Усть-Лабинский р-н
40;Абинский р-н
41;Баксан
42;Урванский р-н
43;улица Астана Кесаева
44;Мостовский р-н
45;Шалинский муниципальный р-н
46;Чегемский р-н
47;Сочи
48;Грозный
49;Белореченский р-н
50;Новокубанский р-н
51;Тахтамукайский р-н
52;муниципальное образование Краснодар
53;г.о. Кизилюрт
54;Волгоград
55;Шали
56;Нальчик
57;Динской р-н
58;Майкоп
59;Буйнакский р-н
60;Отрадненский р-н
61;г.о. Волгоград
62;с. Чикола
63;Лабинский р-н
64;Кизилюртовский р-н
65;Махачкала
66;г.о. Махачкала
67;Хасавюрт
68;г.о. Буйнакск
69;Избербаш
70;Бабаюртовский р-н
71;Карабудахкентский р-н
72;Каспийск
73;Дербентский р-н
74;Дербент
75;Дагестанские Огни
76;городской округ Махачкала
77;Тарумовский р-н
78;Унцукульский р-н
79;Дербентский район
80;Буйнакск
81;Кизляр
82;Новолакский р-н
83;Кизлярский р-н
84;Шелковской р-н
85;г.о. Хасавюрт
86;Буйнакский район
87;село Карабудахкент
88;Курчалоевский район
89;Астрахань
90;Наурский р-н
91;Воронеж
92;Тамбов
93;ул. Алихана Гагкаева
94;Пенза
95;Грязинский р-н
96;Элиста
97;Урус-Мартановский р-н
98;Муром
99;Морозовский р-н
100;ул. Калоева
101;Грозненский р-н
102;Аргун
103;Гудермесский р-н
104;Курчалоевский р-н
105;Ачхой-Мартановский р-н
106;Московское ш.
107;ул. Зураба Магкаева
108;Крымский р-н
109;Сунженский р-н
110;Терский р-н
111;Новохопёрский р-н
112;Белгородский р-н
113;Ростов-на-Дону
114;Шахты
115;Саранск
116;Лиманский р-н
117;Саратов
118;Петровский г.о.
119;Приволжский район
120;Гулькевичский р-н
121;Красноармейский р-н
122;Рязань
123;03К-561
124;Каневской р-н
125;Котовский р-н
126;Дзержинский район
127;Новочеркасск
128;Липецкий р-н
129;Туапсинский р-н
130;Оренбургский р-н
131;Балаковский р-н
132;Самара
133;Белокалитвинский р-н
134;Славянск-на-Кубани
135;Знаменск
136;Новороссийск
137;Волгодонск
138;Мясниковский р-н
139;Новоусманский р-н
140;Новошахтинск
141;Ульяновск
142;Краснодар
143;Изобильненский г.о.
144;Староминский р-н
145;Иристонский район
146;Красноярский р-н
147;Алексеевский г.о.
148;Стерлитамак
149;Курск
150;Тольятти
151;Тула
152;Липецк
153;Симферопольский р-н
154;Белгород
155;Оренбург
156;Ставропольский р-н
157;Новосергиевский р-н
158;Туймазинский р-н
159;Симферополь
160;Бугуруслан
161;Казань
162;Прохладненский р-н
163;Баксанский р-н
164;Зольский р-н
165;Нарткала
166;Прохладный
167;Хасаня
168;Владикавказ
169;Беслан
170;ул. Калинина
171;7-й микрорайон
172;с. Майрамадаг
173;пр-т Коста
174;пр-т Мира
175;Алагир
176;Весенняя улица
177;станица Павлодольская
178;Площадь фонтанов
179;с. Дур-Дур
180;Чебоксары
181;Нижний Новгород
182;Энгельсский р-н
183;Альметьевский р-н
184;Чехов
185;Малгобек
186;Горячий Ключ
187;Славянский р-н
188;г.о. Сочи
189;Апшеронский р-н
190;Ейский р-н
191;коттеджный посёлок Николино Парк
192;Кореновский р-н
193;Темрюкский р-н
194;Геленджик
195;Кавказский р-н
196;Павловский р-н
197;Краснодарскиы_краы_стрелка
198;Белоглинский р-н
199;Северский р-н
200;муниципальное образование Город Геленджик
201;Крымск
202;Тихорецкий р-н
203;муниципальное образование Анапа
204;Темрюкский район
205;Щербиновский р-н
206;Белореченск
207;Анапа
208;Тбилисский р-н
209;Калининский р-н
210;Брюховецкий р-н
211;Туапсе
212;Кореновск
213;Красная улица
214;Тимашевский район
215;улица 1 Мая
216;городской округ Сочи
217;Лаганский р-н
218;Сулейман-Стальский р-н
219;Аткарский р-н
220;Волжский
221;Неклиновский р-н
222;Богучарский р-н
223;Алексеевский р-н
224;Еланский р-н
225;Таганрог
226;Калачёвский р-н
227;Фролово
228;улица Пирогова
229;Арзамас
230;Калуга
231;Михайловка
232;Кумылженский р-н
233;Камышин
234;Жирновский р-н
235;Городищенский р-н
236;Красноармейский район
237;Даниловский район
238;Серафимовичский р-н
239;Руднянский р-н
240;ул. Демьяна Бедного
241;Нехаевский р-н
242;г.о. Камышин
243;Наримановский р-н
244;Харабалинский р-н
245;Аксайский р-н
246;Зерноград
247;Каменск-Шахтинский
248;Зерноградский р-н
249;Донецк
250;Куыбышево
251;станица Егорлыкская
252;Семикаракорский р-н
253;Батайск
254;Миллеровский р-н
255;Гуково
256;Азовский р-н
257;Подольск
258;г.о. Егорьевск
259;г.о. Воскресенск
260;Дмитровский г.о.
261;Электросталь
262;Балашиха
263;Клин
264;Истра
265;Луховицы
266;Одинцовский г.о.
267;Люберцы
268;Сергиево-Посадский г.о.
269;Орехово-Зуевский г.о.
270;г.о. Солнечногорск
271;Новомосковский административный округ
272;Волоколамский г.о.
273;городской округ Истра
274;Лобня
275;Серпухов
276;Павловский Посад
277;Домодедово
278;Московская_област_дубна
279;Долгопрудный
280;Троицкий административный округ
281;г.о. Ступино
282;г.о. Коломна
283;Коломна
284;Химки
285;г.о. Химки
286;Бронницы
287;Счелково
288;Мытищи
289;Наро-Фоминский г.о.
290;г.о. Красногорск
291;Зеленоград
292;Раменский г.о.
293;Ленинский г.о.
294;Королёв
295;Лыткарино
296;Красногорск
297;Воскресенск
298;Рузский г.о.
299;Можайский г.о.
300;Егорьевск
301;г.о. Мытищи
302;46Н-06022
303;г.о. Истра
304;г.о. Клин
305;г.о. Домодедово
306;г.о. Пушкинский
307;Фрязино
308;Павлово-Посадский г.о.
309;г.о. Лотошино
310;Дубна
311;г.о. Люберцы
312;Богородский г.о.
313;Краснознаменск
314;г.о. Щёлково
315;Жуковский
316;Шатура
317;г.о. Переславль-Залесский
318;Реутов
319;г.о. Серпухов
320;Дмитровский городской округ
321;Раменское
322;Железноводск
323;Шпаковский р-н
324;Поворинский р-н
325;Бобровский р-н
326;Аннинский р-н
327;г.о. Воронеж
328;Эртильский р-н
329;Лискинский р-н
330;Каменский р-н
331;Кантемировский р-н
332;Борисоглебский г.о.
333;Репьёвский р-н
334;Калачеевский р-н
335;Каширский район
336;Верхнехавский р-н
337;Рамонский р-н
338;Павловский р-н
339;Бутурлиновский р-н
340;Россошанский р-н
341;ул. Академика Янгеля
342;пр. Одоевского
343;Жулебинская эстакада
344;Симферопольский б-р
345;проспект Вернадского
346;Пролетарский пр-т
347;Озёрная ул.
348;Шоссейная ул.
349;Волгоградский пр-т
350;Юго-Восточный административный округ
351;Таганская улица
352;Каширское ш.
353;Рублёвское ш.
354;ул. Правды
355;Староникольская ул.
356;Замоскворецкая линия
357;Северо-Западный административный округ
358;Москва
359;ул. Авиаторов
360;Воронцовская ул.
361;Азовская ул.
362;Никулинская ул.
363;Большой Коптевский пр.
364;Перервинский б-р
365;ул. Васильцовский Стан
366;Алтуфьевское ш.
367;Люблинско-Дмитровская линия
368;Научный пр.
369;Уссурийская ул.
370;Калужско-Рижская линия
371;Северо-Восточный административный округ
372;Сходненская ул.
373;Саянская ул.
374;Южный административный округ
375;Хабаровская ул.
376;9-я Парковая улица
377;Просторная ул.
378;Восточный административный округ
379;Варшавское ш.
380;Веерная ул.
381;Большая Черкизовская ул.
382;ул. Скульптора Мухиной
383;Центральный административный округ
384;ул. Искры
385;эстакада Бутовской линии метро
386;Серпуховско-Тимирязевская линия
387;Смольная ул.
388;46Н-13994
389;ул. Шаболовка
390;Нижегородская ул.
391;Северный административный округ
392;1-я ул. Леонова
393;Красная площадь
394;Таганско-Краснопресненская линия
395;Бибиревская ул.
396;пр-т 60-летия Октября
397;Джанкойская ул.
398;1-я Владимирская ул.
399;Зеленодольская ул.
400;ул. Свободы
401;Большая Академическая ул.
402;Россошанская ул.
403;Ясеневая ул.
404;Мичуринский пр-т
405;Щёлковское ш.
406;д. Толстопальцево
407;9-я Парковая ул.
408;Кировоградская ул.
409;Электрогорск
410;г.о. Чехов
411;Москва
412;Одинцово
413;46Н-02858
414;Котельники
415;Старооскольский городской округ
416;Старооскольский г.о.
417;г.о. Старооскольский
418;Старый Оскол
419;Яковлевский г.о.
420;Волоконовский р-н
421;Чернянский р-н
422;Корочанский р-н
423;Яковлевский городской округ
424;Новооскольский г.о.
425;Вейделевский р-н
426;улица Ленина
427;Горшеченский р-н
428;Орёл
429;Клинцы
430;Севский р-н
431;Бежицкий район
432;Брасовский р-н
433;Ливны
434;Курский р-н
435;Брянск
436;Климовский р-н
437;Карачевский р-н
438;Стародубский муниципальный округ
439;Сельцо
440;Почепский р-н
441;рабочий посёлок Рогнедино
442;Дятьковский р-н
443;Гиагинский р-н
444;Выселковский р-н
445;Джанкой
446;с. Кизляр
447;Судак
448;Погарский р-н
449;Суражский р-н
450;Клинцовский р-н
451;Новозыбковский г.о.
452;Унечский р-н
453;Жирятинский р-н
454;Трубчевский р-н
455;Рославльский р-н
456;Урицкий р-н
457;Боровский р-н
458;Смоленск
459;муниципальное образование Тула
460;Железногорск
461;Чернский район
462;Рыльский р-н
463;Сафоновский р-н
464;Жуковский р-н
465;Ярцевский р-н
466;Тверь
467;Ясногорский р-н
468;Глушковский р-н
469;Рассказово
470;38Н-343
471;Тимский р-н
472;Обоянский р-н
473;Щигры
474;Пристенский р-н
475;Рыльский район
476;Родниковский р-н
477;Новосильский р-н
478;Воловский р-н
479;Богородицкий р-н
480;Елец
481;Владимир
482;Пензенский р-н
483;ул. Дыбенко
484;Мичуринск
485;Новомосковск
486;Бор
487;Задонский р-н
488;Краснинский р-н
489;г.о. Липецк
490;Данковский р-н
491;проспект Мира
492;Лебедянский район
493;Добринский р-н
494;Усманский р-н
495;Тамбовский р-н
496;Дзержинск
497;Рязанский р-н
498;Моршанск
499;Зубово-Полянский р-н
500;Белые берега
501;Узловский р-н
502;Тутаевский р-н
503;Сызранский р-н
504;Спасский р-н
505;Камско-Устьинский р-н
506;Маркс
507;Мамадышский р-н
508;Мариинско-Посадский муниципальный округ
509;г.о. Чебоксары
510;Кострома
511;Алатырь
512;Арский р-н
513;Великий Новгород
514;Вологда
515;Торжок
516;Тотемский муниципальный округ
517;г.о. Бор
518;г.о. Ульяновск
519;Йошкар-Ола
520;Пугачёвский р-н
521;Набережные Челны
522;Мценск
523;Острогожский р-н
524;Грайворонский г.о.
525;Вяземский р-н
526;Широкая ул.
527;Обоян
528;Смоленский р-н
529;Алексин
530;Малоярославецкий р-н
531;Ярославль
532;Гагаринский р-н
533;Ржевский муниципальный округ
534;Сосновский муниципальный округ
535;Тамбовский муниципальный округ
536;Первомайский р-н
537;г.о. Тамбов
538;Уваровский муниципальный округ
539;Фёдоровский р-н
540;Вольский р-н
541;Балашовский р-н
542;Калининский р-н
543;Ртищевский р-н
544;Энгельс
545;Новоузенский р-н
546;г.о. ЗАТО Светлый
547;Волжский р-н
548;Сызрань
549;г.о. Самара
550;Чапаевск
551;Кинель
552;Отрадный
553;Похвистнево
554;Новокуйбышевск
555;г.о. Тольятти
556;Богатовский р-н
557;г.о. Кинель
558;Красноярский р-н
559;Кинельский район
560;Перелюбский р-н
561;Исаклинский р-н
562;Пестравский р-н
563;Кинель-Черкасский р-н
564;Нефтегорский р-н
565;Борский р-н
566;Кошкинский р-н
567;Темниковский р-н
568;Чамзинский р-н
569;Ковылкинский р-н
570;посёлок городского типа Ромоданово
571;Лямбирский р-н
572;рабочий посёлок Атяшево
573;Рузаевский р-н
574;Большеберезниковский р-н
575;Канаш
576;Киров
577;Сергачский муниципальный округ
578;Святоозёрская ул.
579;Мокшанский р-н
580;Димитровград
581;Починковский муниципальный округ
582;Кузнецк
583;ул. Ротерта
584;Чебоксарский муниципальный округ
585;Сердобский р-н
586;Ступино
587;Мензелинский р-н
588;Ижевск
589;Уфа
590;Чишминский р-н
591;Вятские Поляны
592;Нефтекамск
593;Галич
594;Нижнекамский р-н
595;Иваново
596;Кузоватовский р-н
597;г.о. Димитровград
598;улица Пушкарёва
599;проспект 50-летия ВЛКСМ
600;Вешкаймский р-н
601;Базарносызганский р-н
602;Сенгилеевский р-н
603;Новоспасский р-н
604;Новочебоксарск
605;Комсомольский муниципальный округ
606;Ардатовский р-н
607;Ромодановский р-н
608;Кировский р-н
609;Юхновский р-н
610;Дзержинский р-н
611;Обнинск
612;Бабынинский р-н
613;Перемышльский р-н
614;Сухиничский р-н
615;Жиздринский р-н
616;Вязма
617;Десногорск
618;Велижский р-н
619;Ярцево
620;Новомалыклинский р-н
621;Инзенский р-н
622;Барышский р-н
623;Одесская улица
624;улица Врача Михайлова
625;Тереньгульский р-н
626;Шумерля
627;Янтиковский муниципальный округ
628;Зеленодольский р-н
629;Вурнарский муниципальный округ
630;Кугеси
631;Кстовский муниципальный округ
632;г.о. Нижний Новгород
633;Павловский муниципальный округ
634;Лукояновский муниципальный округ
